Enter user ID (e.g., 2): video=2.mp4 t=0.266s | yaw=0.00 | pitch=-13.00
video=3.mp4 t=1.440s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.541s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.641s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.742s | yaw=1.00 | pitch=-14.00
video=3.mp4 t=1.842s | yaw=3.00 | pitch=-13.00
video=3.mp4 t=1.943s | yaw=5.00 | pitch=-13.00
video=3.mp4 t=2.043s | yaw=8.00 | pitch=-13.00
video=3.mp4 t=2.144s | yaw=11.00 | pitch=-13.00
video=3.mp4 t=2.248s | yaw=13.00 | pitch=-14.00
video=3.mp4 t=2.348s | yaw=13.00 | pitch=-14.00
video=3.mp4 t=2.449s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=2.549s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=2.650s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=2.750s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=2.851s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=2.951s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=3.052s | yaw=12.00 | pitch=-15.00
video=3.mp4 t=3.153s | yaw=12.00 | pitch=-15.00
video=3.mp4 t=3.253s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=3.353s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=3.454s | yaw=13.00 | pitch=-15.00
video=3.mp4 t=3.555s | yaw=13.00 | pitch=-16.00
video=3.mp4 t=3.655s | yaw=13.00 | pitch=-14.00
video=3.mp4 t=3.755s | yaw=15.00 | pitch=-11.00
video=3.mp4 t=3.856s | yaw=17.00 | pitch=-5.00
video=3.mp4 t=3.956s | yaw=18.00 | pitch=0.00
video=3.mp4 t=4.057s | yaw=19.00 | pitch=4.00
video=3.mp4 t=4.157s | yaw=19.00 | pitch=6.00
video=3.mp4 t=4.258s | yaw=19.00 | pitch=7.00
video=3.mp4 t=4.358s | yaw=19.00 | pitch=8.00
video=3.mp4 t=4.459s | yaw=19.00 | pitch=8.00
video=3.mp4 t=4.560s | yaw=19.00 | pitch=8.00
video=3.mp4 t=4.660s | yaw=19.00 | pitch=9.00
video=3.mp4 t=4.761s | yaw=18.00 | pitch=13.00
video=3.mp4 t=4.861s | yaw=16.00 | pitch=18.00
video=3.mp4 t=4.962s | yaw=13.00 | pitch=22.00
video=3.mp4 t=5.063s | yaw=10.00 | pitch=26.00
video=3.mp4 t=5.164s | yaw=8.00 | pitch=29.00
video=3.mp4 t=5.264s | yaw=7.00 | pitch=30.00
video=3.mp4 t=5.365s | yaw=7.00 | pitch=30.00
video=3.mp4 t=5.477s | yaw=7.00 | pitch=30.00
video=3.mp4 t=5.577s | yaw=7.00 | pitch=29.00
video=3.mp4 t=5.678s | yaw=7.00 | pitch=29.00
video=3.mp4 t=5.778s | yaw=8.00 | pitch=28.00
video=3.mp4 t=5.879s | yaw=7.00 | pitch=27.00
video=3.mp4 t=5.979s | yaw=5.00 | pitch=24.00
video=3.mp4 t=6.080s | yaw=1.00 | pitch=19.00
video=3.mp4 t=6.180s | yaw=-2.00 | pitch=14.00
video=3.mp4 t=6.281s | yaw=-4.00 | pitch=10.00
video=3.mp4 t=6.381s | yaw=-5.00 | pitch=6.00
video=3.mp4 t=6.482s | yaw=-6.00 | pitch=2.00
video=3.mp4 t=6.582s | yaw=-6.00 | pitch=-2.00
video=3.mp4 t=6.683s | yaw=-6.00 | pitch=-6.00
video=3.mp4 t=6.783s | yaw=-6.00 | pitch=-11.00
video=3.mp4 t=6.884s | yaw=-6.00 | pitch=-13.00
video=3.mp4 t=6.984s | yaw=-7.00 | pitch=-14.00
video=3.mp4 t=7.085s | yaw=-6.00 | pitch=-14.00
video=3.mp4 t=7.185s | yaw=-6.00 | pitch=-15.00
video=3.mp4 t=7.286s | yaw=-5.00 | pitch=-15.00
video=3.mp4 t=7.386s | yaw=-5.00 | pitch=-15.00
video=3.mp4 t=7.487s | yaw=-4.00 | pitch=-15.00
video=3.mp4 t=7.587s | yaw=-4.00 | pitch=-15.00
video=3.mp4 t=7.688s | yaw=-4.00 | pitch=-16.00
video=3.mp4 t=7.789s | yaw=-4.00 | pitch=-16.00
video=3.mp4 t=7.889s | yaw=-3.00 | pitch=-16.00
video=3.mp4 t=7.989s | yaw=-3.00 | pitch=-16.00
video=3.mp4 t=8.090s | yaw=-3.00 | pitch=-16.00
video=3.mp4 t=8.191s | yaw=-3.00 | pitch=-16.00
video=3.mp4 t=8.291s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=8.391s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=8.492s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=8.593s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=8.693s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=8.794s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=8.895s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=8.995s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=9.096s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=9.196s | yaw=-2.00 | pitch=-17.00
video=3.mp4 t=9.297s | yaw=-3.00 | pitch=-16.00
video=3.mp4 t=9.398s | yaw=-4.00 | pitch=-14.00
video=3.mp4 t=9.498s | yaw=-6.00 | pitch=-11.00
video=3.mp4 t=9.610s | yaw=-8.00 | pitch=-8.00
video=3.mp4 t=9.710s | yaw=-11.00 | pitch=-6.00
video=3.mp4 t=9.810s | yaw=-14.00 | pitch=-5.00
video=3.mp4 t=9.911s | yaw=-18.00 | pitch=-4.00
video=3.mp4 t=10.012s | yaw=-20.00 | pitch=-3.00
video=3.mp4 t=10.123s | yaw=-23.00 | pitch=-3.00
video=3.mp4 t=10.224s | yaw=-26.00 | pitch=-2.00
video=3.mp4 t=10.336s | yaw=-27.00 | pitch=-2.00
video=3.mp4 t=10.436s | yaw=-28.00 | pitch=-2.00
video=3.mp4 t=10.536s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=10.637s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=10.738s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=10.839s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=10.949s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=11.050s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=11.151s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=11.263s | yaw=-29.00 | pitch=-2.00
video=3.mp4 t=11.363s | yaw=-30.00 | pitch=-2.00
video=3.mp4 t=11.464s | yaw=-31.00 | pitch=-2.00
video=3.mp4 t=11.575s | yaw=-33.00 | pitch=-2.00
video=3.mp4 t=11.676s | yaw=-36.00 | pitch=-3.00
video=3.mp4 t=11.776s | yaw=-39.00 | pitch=-3.00
video=3.mp4 t=11.877s | yaw=-44.00 | pitch=-4.00
